Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1978,0.12,0.077,0.091,0.038,-0.094,-0.172,-0.105,-0.171,-0.014,-0.046,0.151,-0.018
1979,-0.008,-0.428,-0.007,-0.196,-0.035,0.035,0.07,0.029,0.16,0.166,0.142,0.444
1980,0.192,0.378,-0.025,0.124,0.197,0.156,0.132,0.115,0.058,0.151,0.142,0.051
1981,0.749,0.558,0.508,0.336,0.16,0.261,0.111,0.172,0.13,0.217,0.326,0.552
1982,-0.147,0.118,-0.118,0.069,-0.001,-0.007,0.019,-0.086,0.033,-0.006,-0.203,0.209
1983,0.365,0.24,0.223,-0.002,-0.011,0.102,0.198,0.261,0.258,0.094,0.455,0.123
1984,0.197,-0.107,0.073,-0.094,0.183,0.022,0.039,0.021,-0.016,0.008,-0.194,-0.488
1985,0.056,-0.323,-0.15,-0.158,0.003,0.037,-0.149,-0.029,0.004,-0.027,0.017,0.094
1986,0.204,0.292,0.056,0.116,0.116,0.078,-0.039,0.018,-0.012,0.001,-0.057,-0.03
1987,0.146,0.369,-0.087,0.011,0.19,0.164,0.262,0.295,0.33,0.2,0.028,0.44
1988,0.485,0.369,0.342,0.404,0.338,0.371,0.377,0.245,0.252,0.207,0.037,0.359
1989,-0.079,0.375,0.252,0.26,0.171,0.22,0.301,0.256,0.248,0.246,0.058,0.3
1990,0.311,0.33,1.006,0.672,0.496,0.472,0.329,0.393,0.418,0.45,0.403,0.288
1991,0.464,0.505,0.301,0.537,0.365,0.454,0.458,0.351,0.354,0.32,0.321,0.192
1992,0.483,0.409,0.362,0.071,0.097,0.028,-0.046,-0.059,-0.164,-0.109,-0.091,0.181
1993,0.336,0.497,0.264,0.223,0.25,0.255,0.182,0.061,0.019,0.174,-0.136,0.186
1994,0.272,-0.029,0.333,0.406,0.317,0.371,0.277,0.344,0.333,0.54,0.44,0.277
1995,0.684,1.06,0.478,0.721,0.429,0.565,0.411,0.564,0.47,0.589,0.578,0.274
1996,0.296,0.583,0.299,0.211,0.349,0.26,0.307,0.198,0.116,0.104,0.392,0.388
1997,0.369,0.5,0.611,0.536,0.454,0.563,0.504,0.514,0.551,0.714,0.63,0.471
1998,0.602,0.938,0.637,0.908,0.676,0.754,0.791,0.796,0.646,0.565,0.502,0.755
1999,0.537,0.96,0.216,0.513,0.373,0.334,0.384,0.37,0.432,0.446,0.49,0.66
2000,0.335,0.823,0.73,0.858,0.527,0.428,0.442,0.512,0.402,0.326,0.218,0.245
2001,0.524,0.433,0.674,0.585,0.616,0.515,0.61,0.668,0.576,0.609,0.983,0.746
2002,0.861,0.935,0.993,0.517,0.477,0.647,0.643,0.572,0.628,0.575,0.723,0.455
2003,0.881,0.49,0.57,0.594,0.71,0.531,0.66,0.804,0.789,0.981,0.69,0.945
2004,0.665,0.835,0.736,0.716,0.49,0.455,0.49,0.577,0.618,0.672,0.936,0.413
2005,0.859,0.672,0.814,0.891,0.793,0.781,0.773,0.719,0.88,0.933,1.037,0.824
2006,0.603,0.897,0.723,0.615,0.746,0.778,0.634,0.74,0.807,0.954,0.927,1.114
2007,1.314,0.893,0.808,1.101,0.702,0.646,0.693,0.758,0.683,0.811,0.816,0.76
2008,0.288,0.47,0.978,0.642,0.638,0.623,0.636,0.638,0.63,0.891,0.961,0.666
2009,0.84,0.645,0.492,0.678,0.574,0.666,0.701,0.721,0.859,0.815,0.795,0.695
2010,0.824,0.941,1.048,1.184,0.94,0.872,0.906,0.881,0.701,0.903,1.212,0.623
2011,0.597,0.509,0.811,0.83,0.652,0.761,0.745,0.75,0.727,0.886,0.635,0.799
2012,0.595,0.599,0.523,0.998,0.941,0.94,0.863,0.808,0.873,0.883,0.931,0.459
2013,0.725,0.659,0.766,0.722,0.772,0.757,0.695,0.767,0.752,0.843,1.06,0.802
2014,0.869,0.651,1.057,1.028,0.879,0.837,0.822,0.998,0.911,0.987,0.828,1.026
2015,1.066,1.064,1.111,0.995,1.016,1.073,0.959,1.066,1.214,1.272,1.332,1.404
2016,1.494,1.743,1.637,1.406,1.116,1.151,1.059,1.137,1.215,1.022,1.052,1.031
2017,1.297,1.399,1.415,1.174,0.88,0.897,0.969,1.051,0.972,0.986,1.108,1.237
2018,0.992,1.144,1.03,0.958,0.865,0.877,0.859,0.859,0.879,1.138,0.894,1.021
2019,0.983,0.996,1.396,1.18,0.975,1.121,1.051,1.149,1.199,1.269,1.108,1.297
2020,1.434,1.596,1.533,1.338,1.216,1.11,1.093,1.104,1.166,1.168,1.449,1.102
2021,1.127,0.864,1.023,1.15,1.04,1.111,1.075,1.017,1.067,1.214,1.212,1.033
2022,1.115,1.064,1.257,1.076,1.013,1.098,1.002,1.139,1.114,1.265,1.021,1.032
2023,1.123,1.138,1.453,0.962,1.095,1.199,1.424,1.509,1.656,-100,-100,-100
